Words,Language
i,English
me,English
my,English
myself,English
we,English
our,English
ours,English
ourselves,English
you,English
you're,English
you've,English
you'll,English
you'd,English
your,English
yours,English
yourself,English
yourselves,English
he,English
him,English
his,English
himself,English
she,English
she's,English
her,English
hers,English
herself,English
it,English
it's,English
its,English
itself,English
they,English
them,English
their,English
theirs,English
themselves,English
what,English
which,English
who,English
whom,English
this,English
that,English
that'll,English
these,English
those,English
am,English
is,English
are,English
was,English
were,English
be,English
been,English
being,English
have,English
has,English
had,English
having,English
do,English
does,English
did,English
doing,English
a,English
an,English
the,English
and,English
but,English
if,English
or,English
because,English
as,English
until,English
while,English
of,English
at,English
by,English
for,English
with,English
about,English
against,English
between,English
into,English
through,English
during,English
before,English
after,English
above,English
below,English
to,English
from,English
up,English
down,English
in,English
out,English
on,English
off,English
over,English
under,English
again,English
further,English
then,English
once,English
here,English
there,English
when,English
where,English
why,English
how,English
all,English
any,English
both,English
each,English
few,English
more,English
most,English
other,English
some,English
such,English
no,English
nor,English
not,English
only,English
own,English
same,English
so,English
than,English
too,English
very,English
s,English
t,English
can,English
will,English
just,English
don,English
don't,English
should,English
should've,English
now,English
d,English
ll,English
m,English
o,English
re,English
ve,English
y,English
ain,English
aren,English
aren't,English
couldn,English
couldn't,English
didn,English
didn't,English
doesn,English
doesn't,English
hadn,English
hadn't,English
hasn,English
hasn't,English
haven,English
haven't,English
isn,English
isn't,English
ma,English
mightn,English
mightn't,English
mustn,English
mustn't,English
needn,English
needn't,English
shan,English
shan't,English
shouldn,English
shouldn't,English
wasn,English
wasn't,English
weren,English
weren't,English
won,English
won't,English
wouldn,English
wouldn't,English
aber,German
alle,German
allem,German
allen,German
aller,German
alles,German
als,German
also,German
am,German
an,German
ander,German
andere,German
anderem,German
anderen,German
anderer,German
anderes,German
anderm,German
andern,German
anderr,German
anders,German
auch,German
auf,German
aus,German
bei,German
bin,German
bis,German
bist,German
da,German
damit,German
dann,German
der,German
den,German
des,German
dem,German
die,German
das,German
dass,German
daß,German
derselbe,German
derselben,German
denselben,German
desselben,German
demselben,German
dieselbe,German
dieselben,German
dasselbe,German
dazu,German
dein,German
deine,German
deinem,German
deinen,German
deiner,German
deines,German
denn,German
derer,German
dessen,German
dich,German
dir,German
du,German
dies,German
diese,German
diesem,German
diesen,German
dieser,German
dieses,German
doch,German
dort,German
durch,German
ein,German
eine,German
einem,German
einen,German
einer,German
eines,German
einig,German
einige,German
einigem,German
einigen,German
einiger,German
einiges,German
einmal,German
er,German
ihn,German
ihm,German
es,German
etwas,German
euer,German
eure,German
eurem,German
euren,German
eurer,German
eures,German
für,German
gegen,German
gewesen,German
hab,German
habe,German
haben,German
hat,German
hatte,German
hatten,German
hier,German
hin,German
hinter,German
ich,German
mich,German
mir,German
ihr,German
ihre,German
ihrem,German
ihren,German
ihrer,German
ihres,German
euch,German
im,German
in,German
indem,German
ins,German
ist,German
jede,German
jedem,German
jeden,German
jeder,German
jedes,German
jene,German
jenem,German
jenen,German
jener,German
jenes,German
jetzt,German
kann,German
kein,German
keine,German
keinem,German
keinen,German
keiner,German
keines,German
können,German
könnte,German
machen,German
man,German
manche,German
manchem,German
manchen,German
mancher,German
manches,German
mein,German
meine,German
meinem,German
meinen,German
meiner,German
meines,German
mit,German
muss,German
musste,German
nach,German
nicht,German
nichts,German
noch,German
nun,German
nur,German
ob,German
oder,German
ohne,German
sehr,German
sein,German
seine,German
seinem,German
seinen,German
seiner,German
seines,German
selbst,German
sich,German
sie,German
ihnen,German
sind,German
so,German
solche,German
solchem,German
solchen,German
solcher,German
solches,German
soll,German
sollte,German
sondern,German
sonst,German
über,German
um,German
und,German
uns,German
unsere,German
unserem,German
unseren,German
unser,German
unseres,German
unter,German
viel,German
vom,German
von,German
vor,German
während,German
waren,German
warst,German
was,German
weg,German
weil,German
weiter,German
welche,German
welchem,German
welchen,German
welcher,German
welches,German
wenn,German
werde,German
werden,German
wie,German
wieder,German
will,German
wir,German
wird,German
wirst,German
wo,German
wollen,German
wollte,German
würde,German
würden,German
zu,German
zum,German
zur,German
zwar,German
zwischen,German
au,French
aux,French
avec,French
ce,French
ces,French
dans,French
de,French
des,French
du,French
elle,French
en,French
et,French
eux,French
il,French
ils,French
je,French
la,French
le,French
les,French
leur,French
lui,French
ma,French
mais,French
me,French
même,French
mes,French
moi,French
mon,French
ne,French
nos,French
notre,French
nous,French
on,French
ou,French
par,French
pas,French
pour,French
qu,French
que,French
qui,French
